date,close,ema_20,ema_50,ema_200,bull_regime,bear_regime,neutral_regime,regime
2025-07-17,25111.44921875,25232.098147248962,24930.68375088381,24384.120195420302,True,False,False,BULL
2025-07-18,24968.400390625,25206.984075189535,24932.162834795232,24389.93392870592,True,False,False,BULL
2025-07-21,25090.69921875,25195.909326957197,24938.3799478915,24396.906717661583,True,False,False,BULL
2025-07-22,25060.900390625,25183.051333020798,24943.18467113595,24403.513619880126,True,False,False,BULL
2025-07-23,25219.900390625,25186.56076707834,24954.03626797866,24411.636871330324,True,False,False,BULL
2025-07-24,25062.099609375,25174.707323487546,24958.274046072635,24418.109137380517,True,False,False,BULL
2025-07-25,24837.0,25142.544721250637,24953.51820112861,24422.27720566529,True,False,False,BULL
2025-07-28,24680.900390625,25098.578594524388,24942.827306599054,24424.850570689767,True,False,False,BULL
2025-07-29,24821.099609375,25072.15202451016,24938.0536714138,24428.7933471941,True,False,False,BULL
2025-07-30,24855.05078125,25051.47571562824,24934.79865611326,24433.034714697143,True,False,False,BULL
2025-07-31,24768.349609375,25024.511324556504,24928.27124251568,24436.371181310857,True,False,False,BULL
2025-08-01,24565.349609375,24980.78163739636,24914.0390216082,24437.654548754283,True,False,False,BULL
2025-08-04,24722.75,24956.207195739564,24906.537491349056,24440.491319413446,True,False,False,BULL
2025-08-05,24649.55078125,24927.001822931037,24896.459581149094,24442.57151306356,True,False,False,BULL
2025-08-06,24574.19921875,24893.401574913794,24883.82191987854,24443.881241478353,True,False,False,BULL
2025-08-07,24596.150390625,24865.091938314865,24872.540683437226,24445.396357390262,False,False,True,NEUTRAL
2025-08-08,24363.30078125,24817.302304308687,24852.57049119459,24444.579485985883,False,True,False,BEAR
2025-08-11,24585.05078125,24795.18311163643,24842.079522177155,24445.97721031687,False,False,True,NEUTRAL
2025-08-12,24487.400390625,24765.870471540104,24828.17053662609,24446.38938126521,False,False,True,NEUTRAL
2025-08-13,24619.349609375,24751.916103714855,24819.981480655457,24448.110378559835,False,False,True,NEUTRAL
2025-08-14,24631.30078125,24740.428930146772,24812.582237541515,24449.933168636355,False,False,True,NEUTRAL
2025-08-18,24876.94921875,24753.4308623947,24815.106432883025,24454.182084557884,False,False,True,NEUTRAL
2025-08-19,24980.650390625,24775.070817464253,24821.598352794477,24459.42057516552,False,False,True,NEUTRAL
2025-08-20,25050.55078125,24801.307004491468,24830.576879400574,24465.302467763377,False,False,True,NEUTRAL
2025-08-21,25083.75,24828.206337397045,24840.50523707114,24471.4561745518,False,False,True,NEUTRAL
2025-08-22,24870.099609375,24832.19617282352,24841.6658006909,24475.422775893327,False,False,True,NEUTRAL
2025-08-25,24967.75,24845.10606112604,24846.610279095177,24480.321554242648,False,False,True,NEUTRAL
2025-08-26,24712.05078125,24832.434129709272,24841.333436042427,24482.62731769546,False,False,True,NEUTRAL
2025-08-28,24500.900390625,24800.85948789172,24827.983120535864,24482.80913931665,False,False,True,NEUTRAL
2025-08-29,24426.849609375,24765.239499461557,24812.252394607985,24482.252328073453,False,True,False,BEAR
2025-09-01,24625.05078125,24751.888192965216,24804.91115486846,24483.673208204564,False,False,True,NEUTRAL
2025-09-02,24579.599609375,24735.479756432815,24796.075407986365,24484.6276997585,False,False,True,NEUTRAL
2025-09-03,24715.05078125,24733.534139748735,24792.89797164376,24486.920466738517,False,False,True,NEUTRAL
2025-09-04,24734.30078125,24733.607153225046,24790.600042608712,24489.3819624053,False,False,True,NEUTRAL
2025-09-05,24741.0,24734.31123387028,24788.654942898567,24491.885624470917,False,False,True,NEUTRAL
2025-09-08,24773.150390625,24738.010201180256,24788.04692124078,24494.684278860514,False,False,True,NEUTRAL
2025-09-09,24868.599609375,24750.447287674993,24791.20585018722,24498.4048294129,False,False,True,NEUTRAL
2025-09-10,24973.099609375,24771.65227069404,24798.338938782817,24503.128160556804,False,False,True,NEUTRAL
2025-09-11,25005.5,24793.923483008894,24806.462901967807,24508.126885327383,False,False,True,NEUTRAL
2025-09-12,25114.0,24824.40696081757,24818.523180322012,24514.15547353308,True,False,False,BULL
2025-09-15,25069.19921875,24847.720509192088,24828.35361320154,24519.678296868573,True,False,False,BULL
2025-09-16,25239.099609375,24884.994709209506,24844.46129932599,24526.83671788854,True,False,False,BULL
2025-09-17,25330.25,24927.39997499908,24863.511836607326,24534.8308798996,True,False,False,BULL
2025-09-18,25423.599609375,24974.65708303488,24885.476062990372,24543.67434984463,True,False,False,BULL
2025-09-19,25327.05078125,25008.218387626795,24902.792718608394,24551.469140206875,True,False,False,BULL
2025-09-22,25202.349609375,25026.707075412338,24914.540047658065,24557.945562785662,True,False,False,BULL
