exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,BLT,BLT Logistics,,544474,MT,BLT.BO,,,0,,BLT.BO: Yahoo returned no data | 544474.BO: Yahoo returned no data
BSE,STOCK,BLUEPEBBLE,Blue Pebble,,211474,NS,BLUEPEBBLE.BO,,,0,,BLUEPEBBLE.BO: Yahoo returned no data | 211474.BO: Yahoo returned no data
BSE,STOCK,BLUEWATER,Blue Water Logistics,,213372,NT,BLUEWATER.BO,,,0,,BLUEWATER.BO: Yahoo returned no data | 213372.BO: Yahoo returned no data
BSE,STOCK,BMETRICS,Bombay Metrics Supply Chain,,208301,NS,BMETRICS.BO,,,0,,BMETRICS.BO: Yahoo returned no data | 208301.BO: Yahoo returned no data
BSE,STOCK,BMLL,Bio Medica Laboratories,,216286,NS,BMLL.BO,,,0,,BMLL.BO: Yahoo returned no data | 216286.BO: Yahoo returned no data
BSE,STOCK,BOHRAIND,Bohra Industries,,209193,NS,BOHRAIND.BO,,,0,,BOHRAIND.BO: Yahoo returned no data | 209193.BO: Yahoo returned no data
BSE,STOCK,BOSS,Boss Packaging Solutions,,211955,NS,BOSS.BO,,,0,,BOSS.BO: Yahoo returned no data | 211955.BO: Yahoo returned no data
BSE,STOCK,BPCL,Bharat Petroleum,,500547,A,BPCL.BO,,,0,,BPCL.BO: Only 2 rows; minimum is 30 | 500547.BO: Yahoo returned no data
BSE,STOCK,BPL,BPL,,500074,B,BPL.BO,,,0,,BPL.BO: Only 2 rows; minimum is 30 | 500074.BO: Yahoo returned no data
BSE,STOCK,BRACEPORT,Brace Port Logistics,,211898,NS,BRACEPORT.BO,,,0,,BRACEPORT.BO: Yahoo returned no data | 211898.BO: Yahoo returned no data
BSE,STOCK,BRANDMAN,Brandman Retail,,215719,NS,BRANDMAN.BO,,,0,,BRANDMAN.BO: Yahoo returned no data | 215719.BO: Yahoo returned no data
BSE,STOCK,BRITANNIA,Britannia Industries,,500825,A,BRITANNIA.BO,,,0,,BRITANNIA.BO: Only 2 rows; minimum is 30 | 500825.BO: Yahoo returned no data
BSE,STOCK,BSE,BSE,,201890,NS,BSE.BO,,,0,,BSE.BO: Yahoo returned no data | 201890.BO: Yahoo returned no data
BSE,STOCK,BULKCORP,Bulkcorp International,,211834,NT,BULKCORP.BO,,,0,,BULKCORP.BO: Yahoo returned no data | 211834.BO: Yahoo returned no data
BSE,STOCK,C2C,C2C Advanced Systems,,212226,NS,C2C.BO,,,0,,C2C.BO: Yahoo returned no data | 212226.BO: Yahoo returned no data
BSE,STOCK,CADSYS,Cadsys,,206071,NT,CADSYS.BO,,,0,,CADSYS.BO: Yahoo returned no data | 206071.BO: Yahoo returned no data
BSE,STOCK,CANARYS,Canarys Automations,,210695,NS,CANARYS.BO,,,0,,CANARYS.BO: Yahoo returned no data | 210695.BO: Yahoo returned no data
BSE,STOCK,CANFINHOME,Can Fin Homes,,511196,A,CANFINHOME.BO,,,0,,CANFINHOME.BO: Only 2 rows; minimum is 30 | 511196.BO: Yahoo returned no data
BSE,STOCK,CARBORUNIV,Carborundum Universal,,513375,A,CARBORUNIV.BO,,,0,,CARBORUNIV.BO: Only 2 rows; minimum is 30 | 513375.BO: Yahoo returned no data
BSE,STOCK,CBAZAAR,Net Avenue Technologies,,210874,NT,CBAZAAR.BO,,,0,,CBAZAAR.BO: Yahoo returned no data | 210874.BO: Yahoo returned no data
BSE,STOCK,CDSL,CDSL,,201232,NS,CDSL.BO,,,0,,CDSL.BO: Yahoo returned no data | 201232.BO: Yahoo returned no data
BSE,STOCK,CEDAAR,Cedaar Textile,,213506,NT,CEDAAR.BO,,,0,,CEDAAR.BO: Yahoo returned no data | 213506.BO: Yahoo returned no data
BSE,STOCK,CELEBRITY,Celebrity Fashions,,532695,B,CELEBRITY.BO,,,0,,CELEBRITY.BO: Only 2 rows; minimum is 30 | 532695.BO: Yahoo returned no data
