exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,ANIRITPP,Anirit Ventures - PP,,890231,XT,ANIRITPP.BO
BSE,STOCK,ANJANI,Anjani Synthetics,,531223,X,ANJANI.BO
BSE,STOCK,ANJANIFIN,Anjani Finance,,531878,X,ANJANIFIN.BO
BSE,STOCK,ANJANIFOODS,Anjani Foods,,511153,XT,ANJANIFOODS.BO
BSE,STOCK,ANKIN,Anka India,,531673,X,ANKIN.BO
BSE,STOCK,ANKITMETAL,Ankit Metal & Power,,532870,Z,ANKITMETAL.BO
BSE,STOCK,ANL,Accretion Nutraveda,,544694,M,ANL.BO
BSE,STOCK,ANLON,Anlon Technology Solutions,,209379,NS,ANLON.BO
BSE,STOCK,ANMOL,Anmol,,542437,B,ANMOL.BO
BSE,STOCK,ANNAINFRA,Anna Infrastructures,,530799,X,ANNAINFRA.BO
BSE,STOCK,ANNAPURNA,Annapurna Swadisht,,209126,NS,ANNAPURNA.BO
BSE,STOCK,ANNU,Annu Projects,,544893,T,ANNU.BO
BSE,STOCK,ANONDITA,Anondita Medicare,,213679,NS,ANONDITA.BO
BSE,STOCK,ANSALAPI,Ansal Properties & Infrastructure,,500013,Z,ANSALAPI.BO
BSE,STOCK,ANSALBU,Ansal Buildwell,,523007,B,ANSALBU.BO
BSE,STOCK,ANSALHSG,Ansal Housing & Construction,,507828,X,ANSALHSG.BO
BSE,STOCK,ANSINDUS,ANS Industries,,531406,XT,ANSINDUS.BO
BSE,STOCK,ANTARIKSH,Antariksh Industries,,501270,XT,ANTARIKSH.BO
BSE,STOCK,ANTELOPUS,Antelopus Selan Energy,,530075,B,ANTELOPUS.BO
BSE,STOCK,ANTGRAPHIC,Antarctica,,201552,NS,ANTGRAPHIC.BO
BSE,STOCK,ANTHEM,Anthem Biosciences,,544449,A,ANTHEM.BO
