variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
EMA_MACD,SHORT,2025-12-11,2025-12-12,2025-12-24,1004.9500122070312,1030.073762512207,954.7025115966796,1030.073762512207,STOP_LOSS,9,-2.499999999999991,-2.649999999999991,BULL,45.129791422410634,0.947609435893248,BAJFINANCE,BSE,500034.BO
EMA_MACD,SHORT,2026-03-06,2026-03-09,2026-03-10,929.2000122070312,952.430012512207,882.7400115966797,952.430012512207,STOP_LOSS,2,-2.499999999999995,-2.649999999999995,BEAR,40.36476609640966,1.7437949707344775,BAJFINANCE,BSE,500034.BO
EMA_MACD,LONG,2026-06-16,2026-06-17,2026-06-25,956.7000122070312,932.7825119018554,1004.5350128173828,1004.5350128173828,TARGET,6,5.000000000000003,4.850000000000002,BEAR,63.0925215485982,3.60081868340136,BAJFINANCE,BSE,500034.BO
RSI_ZONE,LONG,2025-06-10,2025-06-11,2025-06-13,949.7050170898438,925.9623916625976,997.190267944336,925.9623916625976,STOP_LOSS,3,-2.5000000000000044,-2.6500000000000044,NEUTRAL,61.036494685519386,1.4345136902651534,BAJFINANCE,BSE,500034.BO
RSI_ZONE,LONG,2025-07-23,2025-07-24,2025-07-25,968.4000244140624,944.1900238037108,1016.8200256347656,944.1900238037108,STOP_LOSS,2,-2.5000000000000027,-2.6500000000000026,BULL,63.48183008032444,1.8242569368839006,BAJFINANCE,BSE,500034.BO
RSI_ZONE,SHORT,2025-07-29,2025-07-30,2025-08-13,887.0499877929688,909.2262374877929,842.6974884033202,860.4500122070312,TIME_EXIT,11,2.9987008569967704,2.8487008569967704,BULL,38.48123077897019,2.464589848185267,BAJFINANCE,BSE,500034.BO
RSI_ZONE,SHORT,2026-03-09,2026-03-10,2026-03-11,954.2999877929688,978.1574874877929,906.5849884033203,906.5849884033203,TARGET,2,5.000000000000004,4.850000000000004,BEAR,37.849995838956225,1.9782981921324352,BAJFINANCE,BSE,500034.BO
RSI_ZONE,LONG,2026-06-16,2026-06-17,2026-06-25,956.7000122070312,932.7825119018554,1004.5350128173828,1004.5350128173828,TARGET,6,5.000000000000003,4.850000000000002,BEAR,63.0925215485982,3.60081868340136,BAJFINANCE,BSE,500034.BO
EXT_3,LONG,2025-01-06,2025-01-07,2025-01-13,734.7249755859375,716.3568511962891,771.4612243652344,716.3568511962891,STOP_LOSS,4,-2.499999999999997,-2.649999999999997,NEUTRAL,65.13040217348447,1.7032638669043,BAJFINANCE,BSE,500034.BO
EXT_3,LONG,2025-06-10,2025-06-11,2025-06-13,949.7050170898438,925.9623916625976,997.190267944336,925.9623916625976,STOP_LOSS,3,-2.5000000000000044,-2.6500000000000044,NEUTRAL,61.036494685519386,1.4345136902651534,BAJFINANCE,BSE,500034.BO
